iter	Passed	Remaining
0	147	147420
1	149	74492
2	151	50186
3	152	37999
4	154	30666
5	155	25745
6	157	22282
7	158	19711
8	160	17674
9	162	16055
10	163	14734
11	165	13623
12	166	12659
13	167	11813
14	168	11063
15	169	10404
16	170	9830
17	170	9312
18	171	8848
19	172	8428
20	172	8047
21	173	7700
22	173	7384
23	174	7095
24	175	6827
25	175	6581
26	176	6353
27	176	6140
28	177	5944
29	178	5759
30	178	5587
31	179	5425
32	179	5273
33	180	5131
34	181	4997
35	181	4870
36	182	4749
37	183	4640
38	184	4534
39	184	4433
40	185	4338
41	186	4248
42	186	4161
43	187	4077
44	188	3997
45	189	3920
46	189	3846
47	190	3775
48	191	3708
49	191	3643
50	192	3580
51	193	3519
52	193	3462
53	194	3406
54	195	3352
55	196	3304
56	196	3255
57	197	3206
58	198	3159
59	198	3115
60	199	3071
61	200	3029
62	200	2988
63	201	2948
64	202	2909
65	202	2872
66	203	2836
67	203	2795
68	204	2761
69	205	2728
70	206	2696
71	206	2664
72	207	2634
73	208	2604
74	208	2575
75	209	2546
76	210	2519
77	211	2495
78	211	2468
79	212	2442
80	212	2416
81	213	2391
82	214	2367
83	214	2343
84	215	2317
85	215	2294
86	216	2269
87	216	2248
88	217	2227
89	218	2206
90	218	2186
91	219	2166
92	220	2147
93	220	2128
94	221	2110
95	222	2092
96	222	2074
97	223	2057
98	224	2040
99	225	2026
100	225	2011
101	226	1992
102	227	1977
103	227	1962
104	228	1947
105	229	1932
106	229	1917
107	230	1902
108	231	1888
109	231	1874
110	232	1860
111	232	1846
112	233	1833
113	234	1820
114	234	1807
115	235	1793
116	235	1781
117	236	1768
118	237	1755
119	237	1744
120	238	1733
121	241	1736
122	241	1722
123	242	1711
124	242	1700
125	243	1689
126	244	1679
127	244	1666
128	245	1656
129	245	1645
130	246	1636
131	247	1626
132	247	1616
133	248	1606
134	249	1597
135	249	1587
136	250	1578
137	251	1569
138	251	1560
139	252	1553
140	253	1544
141	254	1536
142	255	1529
143	256	1521
144	256	1514
145	257	1507
146	258	1499
147	259	1491
148	259	1483
149	260	1475
150	261	1468
151	261	1460
152	262	1452
153	263	1445
154	263	1437
155	264	1430
156	265	1423
157	265	1416
158	266	1410
159	267	1403
160	267	1396
161	268	1389
162	269	1382
163	269	1375
164	270	1368
165	270	1361
166	271	1354
167	272	1347
168	272	1341
169	273	1334
170	273	1327
171	274	1321
172	275	1315
173	275	1308
174	276	1302
175	276	1296
176	277	1289
177	278	1283
178	278	1277
179	279	1271
180	279	1264
181	280	1259
182	280	1254
183	281	1248
184	282	1243
185	282	1238
186	283	1233
187	284	1227
188	284	1222
189	285	1216
190	286	1211
191	286	1206
192	287	1201
193	287	1195
194	288	1190
195	289	1185
196	289	1180
197	290	1175
198	290	1170
199	291	1165
200	291	1160
201	292	1155
202	293	1150
203	293	1146
204	294	1143
205	295	1139
206	297	1138
207	298	1135
208	299	1133
209	300	1131
210	301	1128
211	302	1124
212	303	1120
213	303	1116
214	304	1111
215	305	1107
216	305	1102
217	306	1098
218	306	1094
219	307	1089
220	308	1085
221	308	1081
222	309	1077
223	309	1073
224	310	1068
225	310	1064
226	311	1060
227	312	1056
228	312	1052
229	313	1048
230	313	1044
231	314	1040
232	314	1036
233	315	1032
234	316	1029
235	316	1025
236	317	1021
237	317	1017
238	318	1014
239	318	1010
240	319	1006
241	320	1003
242	320	999
243	321	995
244	322	992
245	322	989
246	323	986
247	324	982
248	324	979
249	325	975
250	325	972
251	326	968
252	326	965
253	327	961
254	328	958
255	328	955
256	329	951
257	329	948
258	330	945
259	331	942
260	331	939
261	332	935
262	332	932
263	333	929
264	334	926
265	334	923
266	335	920
267	335	917
268	336	914
269	337	911
270	337	908
271	338	905
272	338	902
273	339	899
274	340	896
275	340	893
276	341	890
277	341	887
278	342	884
279	343	882
280	343	879
281	344	876
282	344	873
283	345	870
284	345	867
